,id_EUMETSAT,url_tar
83,noaa_8_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_8_hirs-shifted_srf/rtcoef_noaa_8_hirs-shifted_srf.tar.gz
84,noaa_9_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_9_hirs-shifted_srf/rtcoef_noaa_9_hirs-shifted_srf.tar.gz
85,noaa_10_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_10_hirs-shifted_srf/rtcoef_noaa_10_hirs-shifted_srf.tar.gz
86,noaa_11_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_11_hirs-shifted_srf/rtcoef_noaa_11_hirs-shifted_srf.tar.gz
87,noaa_12_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_12_hirs-shifted_srf/rtcoef_noaa_12_hirs-shifted_srf.tar.gz
89,noaa_14_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_14_hirs-shifted_srf/rtcoef_noaa_14_hirs-shifted_srf.tar.gz
90,noaa_15_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_15_hirs-shifted_srf/rtcoef_noaa_15_hirs-shifted_srf.tar.gz
91,noaa_16_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_16_hirs-shifted_srf/rtcoef_noaa_16_hirs-shifted_srf.tar.gz
92,noaa_17_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_17_hirs-shifted_srf/rtcoef_noaa_17_hirs-shifted_srf.tar.gz
93,noaa_18_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_18_hirs-shifted_srf/rtcoef_noaa_18_hirs-shifted_srf.tar.gz
94,noaa_19_hirs-shifted,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_noaa_19_hirs-shifted_srf/rtcoef_noaa_19_hirs-shifted_srf.tar.gz
95,nimbus_1_hrir,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_nimbus_1_hrir_srf/rtcoef_nimbus_1_hrir_srf.tar.gz
96,nimbus_2_hrir,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_nimbus_2_hrir_srf/rtcoef_nimbus_2_hrir_srf.tar.gz
97,nimbus_3_hrir,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_nimbus_3_hrir_srf/rtcoef_nimbus_3_hrir_srf.tar.gz
98,calipso_1_iir,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_calipso_1_iir_srf/rtcoef_calipso_1_iir_srf.tar.gz
99,insat3_4_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_insat3_4_imager_srf/rtcoef_insat3_4_imager_srf.tar.gz
100,insat3_5_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_insat3_5_imager_srf/rtcoef_insat3_5_imager_srf.tar.gz
101,insat3_6_imager,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_insat3_6_imager_srf/rtcoef_insat3_6_imager_srf.tar.gz
102,insat3_4_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_insat3_4_sounder_srf/rtcoef_insat3_4_sounder_srf.tar.gz
103,insat3_5_sounder,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_insat3_5_sounder_srf/rtcoef_insat3_5_sounder_srf.tar.gz
104,fy3_1_iras,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_fy3_1_iras_srf/rtcoef_fy3_1_iras_srf.tar.gz
105,hj1_2_irmss,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_hj1_2_irmss_srf/rtcoef_hj1_2_irmss_srf.tar.gz
106,ticfire_1_mbfiri,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_ticfire_1_mbfiri_srf/rtcoef_ticfire_1_mbfiri_srf.tar.gz
107,fy3_3_mersi1,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_fy3_3_mersi1_srf/rtcoef_fy3_3_mersi1_srf.tar.gz
108,fy3_4_mersi2,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_fy3_4_mersi2_srf/rtcoef_fy3_4_mersi2_srf.tar.gz
109,metopsg_1_metimage,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_metopsg_1_metimage_srf/rtcoef_metopsg_1_metimage_srf.tar.gz
110,coms_1_mi,https://nwp-saf.eumetsat.int/downloads/rtcoef_rttov13/ir_srf/rtcoef_coms_1_mi_srf/rtcoef_coms_1_mi_srf.tar.gz
